Rosetta 3,,,,,,,,,,,,,,,,,,,,,,,
Sand_%,Silt_%,Clay_%,bulk_density_(g/cm3),th33,th1500,Code,theta_r,theta_s,log10_alpha_(1/cm),log10_n,log10_Ksat_(cm/d),K sat (cm/d),ksat (cm/s),,,,,,,,,,
52.77,47.23,0,1.62,-9.9,-9.9,3,0.047645763,0.330171895,-1.892525747,0.181097784,1.561285012,36.4153939,0.000421474,,,,,,,,,,
66.05,33.95,0,1.62,-9.9,-9.9,3,0.047032677,0.331600726,-1.727811,0.194111409,1.706339055,50.85563191,0.000588607,,,,,,,,,,
76.75,23.25,0,1.62,-9.9,-9.9,3,0.046459552,0.335060387,-1.612981039,0.237633995,1.958003421,90.78276812,0.001050726,,,,,,,,,,
43,50.64,6.36,1.62,-9.9,-9.9,3,0.056969838,0.337681622,-2.032799399,0.164305706,1.264763436,18.3976959,0.000212936,,,,,,,,,,
54.95,39.05,6,1.62,-9.9,-9.9,3,0.055931448,0.337520375,-1.875327938,0.161766563,1.365058291,23.17705712,0.000268253,,,,,,,,,,
58.22,41.78,0,1.62,-9.9,-9.9,3,0.047380938,0.33035151,-1.821378127,0.182950993,1.606148619,40.37835472,0.000467342,,,,,,,,,,
46.07,49.46,4.47,1.62,-9.9,-9.9,3,0.053976309,0.335208128,-1.990597421,0.168151837,1.350123108,22.39355831,0.000259185,,,,,,,,,,
81.54,18.46,0,1.62,-9.9,-9.9,3,0.046166419,0.337043363,-1.565210583,0.276967546,2.1349418,136.440028,0.001579167,,,,,,,,,,
53.04,46.96,0,1.62,-9.9,-9.9,3,0.047631028,0.330165563,-1.888881969,0.181101052,1.563159475,36.57290644,0.000423298,,,,,,,,,,
55.59,44.41,0,1.62,-9.9,-9.9,3,0.047501458,0.330188658,-1.855072691,0.181565264,1.582546524,38.24252189,0.000442622,,,,,,,,,,
65.66,34.34,0,1.62,-9.9,-9.9,3,0.047050878,0.331511334,-1.732256184,0.193250234,1.700019539,50.12097827,0.000580104,,,,,,,,,,
87.01,12.99,0,1.62,-9.9,-9.9,3,0.04585952,0.339303853,-1.512879083,0.348948853,2.398246588,250.1765436,0.002895562,,,,,,,,,,
85.71,14.29,0,1.62,-9.9,-9.9,3,0.045927233,0.338778539,-1.525079933,0.328656855,2.32990534,213.7496144,0.002473954,,,,,,,,,,
45.72,54.28,0,1.62,-9.9,-9.9,3,0.048140423,0.331347853,-1.988388177,0.183504877,1.52559738,33.54265073,0.000388225,,,,,,,,,,
86.78,13.22,0,1.62,-9.9,-9.9,3,0.04587127,0.33921142,-1.515023929,0.345206693,2.385927277,243.1796768,0.00281458,,,,,,,,,,
84.47,15.53,0,1.62,-9.9,-9.9,3,0.045995003,0.338270001,-1.53686967,0.311230394,2.267894907,185.308315,0.002144772,,,,,,,,,,
65.09,34.91,0,1.62,-9.9,-9.9,3,0.04707722,0.331385805,-1.73879039,0.192058135,1.691070962,49.09880951,0.000568273,,,,,,,,,,
84.4,15.6,0,1.62,-9.9,-9.9,3,0.045998923,0.338241065,-1.53753907,0.310301433,2.264493335,183.8625737,0.002128039,,,,,,,,,,
59.47,40.53,0,1.62,-9.9,-9.9,3,0.047326017,0.33047443,-1.805785452,0.183973158,1.618859776,41.57763439,0.000481223,,,,,,,,,,
77.81,22.19,0,1.62,-9.9,-9.9,3,0.046395164,0.335487518,-1.602246545,0.244884905,1.993101155,98.42403263,0.001139167,,,,,,,,,,
63.54,36.46,0,1.62,-9.9,-9.9,3,0.047147455,0.331075336,-1.756789912,0.189193733,1.668380592,46.59942866,0.000539345,,,,,,,,,,
68.97,31.03,0,1.62,-9.9,-9.9,3,0.046891135,0.332359022,-1.695162369,0.201851749,1.759134227,57.42939313,0.000664692,,,,,,,,,,
55.73,44.27,0,1.62,-9.9,-9.9,3,0.047494775,0.330193944,-1.853248613,0.18161467,1.583705077,38.3446764,0.000443804,,,,,,,,,,
70.11,29.89,0,1.62,-9.9,-9.9,3,0.046833043,0.332696455,-1.682704877,0.205566318,1.782600279,60.61781515,0.000701595,,,,,,,,,,
93.11,6.89,0,1.62,-9.9,-9.9,3,0.04556405,0.341755329,-1.459364354,0.469955102,2.747688655,559.356456,0.006474033,,,,,,,,,,
49.36,41.13,9.51,1.62,-9.9,-9.9,3,0.061820762,0.341212188,-1.950898534,0.152214781,1.19596453,15.70234554,0.00018174,,,,,,,,,,
52.54,44.2,3.26,1.62,-9.9,-9.9,3,0.051948792,0.333754596,-1.901559194,0.169920498,1.437991908,27.4152309,0.000317306,,,,,,,,,,
58.07,39.29,2.65,1.62,-9.9,-9.9,3,0.050903335,0.333605921,-1.829926236,0.173548105,1.510341432,32.38481586,0.000374824,,,,,,,,,,
51.92,39.84,8.24,1.62,-9.9,-9.9,3,0.059604613,0.339974033,-1.91669979,0.155197073,1.261512926,18.26051097,0.000211349,,,,,,,,,,
75.39,24.61,0,1.62,-9.9,-9.9,3,0.046540664,0.334528497,-1.626901058,0.229327708,1.916077061,82.42843627,0.000954033,,,,,,,,,,
52.38,36,11.63,1.62,-9.9,-9.9,3,0.065487735,0.344857864,-1.91526127,0.146308017,1.162556238,14.53972652,0.000168284,,,,,,,,,,
57.37,39.61,3.02,1.62,-9.9,-9.9,3,0.0514458,0.333990398,-1.839345895,0.171901647,1.490372323,30.92945895,0.00035798,,,,,,,,,,
55.39,40.73,3.88,1.62,-9.9,-9.9,3,0.0527352,0.334808177,-1.865868832,0.168316006,1.441054393,27.60923625,0.000319551,,,,,,,,,,
49.88,45.88,4.25,1.62,-9.9,-9.9,3,0.053466349,0.334758908,-1.938703398,0.167215184,1.381711715,24.08306262,0.000278739,,,,,,,,,,
50.78,38.63,10.59,1.62,-9.9,-9.9,3,0.063664386,0.342967658,-1.933730112,0.149078139,1.175993904,14.99663785,0.000173572,,,,,,,,,,
63.03,36.97,0,1.62,-9.9,-9.9,3,0.047170181,0.33098307,-1.762788509,0.188364957,1.661412695,45.857745,0.000530761,,,,,,,,,,
69.92,30.08,0,1.62,-9.9,-9.9,3,0.046842845,0.332638657,-1.68477034,0.204917414,1.778569821,60.05785554,0.000695114,,,,,,,,,,
65.73,34.27,0,1.62,-9.9,-9.9,3,0.047047622,0.33152717,-1.731456811,0.193402039,1.701141888,50.25067363,0.000581605,,,,,,,,,,
48.5,41.24,10.25,1.62,-9.9,-9.9,3,0.063133883,0.34206219,-1.962583494,0.150510686,1.164267031,14.59711505,0.000168948,,,,,,,,,,
53.23,46.77,0,1.62,-9.9,-9.9,3,0.047620788,0.330162185,-1.886325141,0.181108409,1.564497815,36.68578487,0.000424604,,,,,,,,,,
65.24,34.76,0,1.62,-9.9,-9.9,3,0.047070317,0.331418249,-1.737066518,0.192364329,1.69339326,49.36205823,0.00057132,,,,,,,,,,
58.27,41.73,0,1.62,-9.9,-9.9,3,0.047378724,0.330355872,-1.820749254,0.182987155,1.606637332,40.42381819,0.000467868,,,,,,,,,,
66.62,33.38,0,1.62,-9.9,-9.9,3,0.047005798,0.331736472,-1.721350962,0.195439046,1.715871631,51.98423185,0.000601669,,,,,,,,,,
74.5,25.5,0,1.62,-9.9,-9.9,3,0.0465926,0.334191952,-1.636104711,0.224440098,1.890435173,77.70253238,0.000899335,,,,,,,,,,
30.87,59.93,9.19,1.62,-9.9,-9.9,3,0.062418762,0.346284277,-2.176313973,0.166174711,1.142509795,13.88384623,0.000160693,,,,,,,,,,
94.09,5.91,0,1.62,-9.9,-9.9,3,0.04551666,0.342159871,-1.451430167,0.492918386,2.806169198,639.9841201,0.007407224,,,,,,,,,,
61.2,35.66,3.14,1.62,-9.9,-9.9,3,0.051503178,0.334862085,-1.793749553,0.174685768,1.530655376,33.9355878,0.000392773,,,,,,,,,,
